Date,AAPL,JPM,PFE,TSLA,CVX,DAL
06/07/2011,10.821184,30.877029,13.784896,5.792,71.135773,8.109693
07/07/2011,10.988535,31.455597,13.420036,5.946,72.157982,8.358404
08/07/2011,11.065752,31.01405,13.373604,5.762,71.684113,8.305109
11/07/2011,10.890099,30.016792,13.294001,5.67,70.682175,7.994224
12/07/2011,10.882405,29.986343,13.267466,5.634,70.668648,7.647804
13/07/2011,11.013765,30.161428,13.260831,5.728,71.142509,7.727747
14/07/2011,11.006072,30.717161,13.207762,5.522,70.85817,7.55898
15/07/2011,11.226028,30.435492,13.10162,5.516,71.887169,7.470155
18/07/2011,11.499201,30.321306,13.02865,5.446,71.914246,7.15927
19/07/2011,11.593031,30.747612,13.227665,5.578,72.760475,7.336919
20/07/2011,11.902196,31.181538,13.201127,5.738,72.503204,7.23033
21/07/2011,11.914196,32.194027,13.333803,5.74,74.080559,7.256976
22/07/2011,12.099082,32.117893,13.313905,5.858,73.769157,7.194799
25/07/2011,12.259048,31.737261,13.141428,5.698,73.180191,6.98162
26/07/2011,12.410095,31.546934,13.022017,5.6,72.821404,7.12374
27/07/2011,12.077242,30.960766,12.803105,5.528,71.508087,6.759559
28/07/2011,12.05355,30.968376,12.842905,5.634,71.101875,6.777324
29/07/2011,12.012326,30.793295,12.769938,5.634,70.418167,7.008267
01/08/2011,12.205212,30.785679,12.610723,5.754,71.338837,6.928326
02/08/2011,11.964031,30.328913,12.03359,5.468,70.03231,6.599674
03/08/2011,12.076623,30.374584,12.093959,5.44,69.56517,6.706262
04/08/2011,11.609024,28.867273,11.644546,4.95,65.557526,6.235493
05/08/2011,11.493663,28.623672,11.731744,4.848,66.078804,6.191081
08/08/2011,10.865795,25.928785,11.175007,4.728,61.096313,5.880195
09/08/2011,11.505663,27.710148,11.805528,5.012,63.228764,6.288787
10/08/2011,11.188191,26.164778,11.436608,4.764,61.312935,5.933487
11/08/2011,11.496124,27.930925,11.946391,5.06,63.682323,6.191081
12/08/2011,11.597337,27.337133,11.97993,5.262,64.894096,6.191081
15/08/2011,11.794834,28.075565,12.301897,5.246,67.087479,6.501966
16/08/2011,11.704698,27.42849,12.281776,5.22,66.437599,6.803969
17/08/2011,11.703469,27.839577,12.402514,5.166,66.655945,6.928326
18/08/2011,11.260789,26.789011,11.879313,4.852,63.626129,6.564144
19/08/2011,10.952542,26.149557,11.852485,4.46,63.660259,6.404258
22/08/2011,10.965158,25.433962,11.859193,4.39,63.66708,6.413142
23/08/2011,11.493049,26.476896,12.234823,4.592,66.41713,6.448672
24/08/2011,11.572418,27.276232,12.335434,4.774,66.594543,6.439789
25/08/2011,11.49674,27.192488,12.047008,4.622,65.482254,6.066726
26/08/2011,11.80006,27.565512,12.2147,4.746,66.089569,6.324316
29/08/2011,11.996639,28.654135,12.664112,4.942,67.379318,6.661851
30/08/2011,11.997255,28.212595,12.664112,4.926,67.147301,6.759559
31/08/2011,11.838518,28.593225,12.731191,4.948,67.447502,6.688498
01/09/2011,11.721617,27.634027,12.684235,4.8,67.229172,6.59079
02/09/2011,11.506895,26.362715,12.382392,4.614,65.789322,6.457554
06/09/2011,11.681937,25.456797,12.509834,4.588,65.243416,6.3332
07/09/2011,11.810833,26.507343,12.751311,4.768,67.754608,6.635205
08/09/2011,11.817292,25.510084,12.623867,4.722,67.154099,6.493083
09/09/2011,11.612409,24.421478,12.26165,4.594,64.956818,6.377611
12/09/2011,11.688087,24.680309,12.241529,4.576,65.448135,6.555262
13/09/2011,11.832057,24.733589,12.29519,4.816,65.461784,7.097091
14/09/2011,11.976027,24.969585,12.348851,4.868,66.403473,7.452391
15/09/2011,12.088619,25.738468,12.402514,4.964,67.734138,7.514568
16/09/2011,12.320573,25.449181,12.174454,5.16,67.986633,7.461272
19/09/2011,12.662964,24.733589,12.11408,5.154,67.358826,7.381331
20/09/2011,12.718955,24.550888,12.234823,5.202,66.731026,7.434626
21/09/2011,12.678658,23.096869,11.966515,5.17,64.329002,7.105974
22/09/2011,12.361182,22.28232,11.731744,5.126,61.531197,6.73291
23/09/2011,12.437475,22.525915,11.704916,5.276,61.422039,7.256976
26/09/2011,12.402711,24.094135,11.919562,5.104,62.431965,7.372448
27/09/2011,12.282425,24.033222,11.906144,5.238,63.830868,7.23033
28/09/2011,12.213211,23.195833,11.778698,4.918,62.602566,7.203681
29/09/2011,12.015098,23.896204,12.060426,4.824,64.410889,7.061562
30/09/2011,11.730541,22.929386,11.859193,4.878,63.182583,6.661851
03/10/2011,11.523815,21.810329,11.624419,4.746,61.333313,5.906841
04/10/2011,11.459211,23.23875,11.798817,4.732,62.42514,6.47532
05/10/2011,11.636098,23.684174,12.060426,5.074,64.595146,6.599674
06/10/2011,11.609024,24.866844,12.228114,5.392,64.560997,6.91056
07/10/2011,11.376152,23.576656,12.368974,5.398,64.417725,6.928326
10/10/2011,11.960955,24.805405,12.690941,5.576,67.010811,7.150387
11/10/2011,12.314115,24.805405,12.64399,5.522,66.601364,7.292508
12/10/2011,12.372562,25.49658,12.623867,5.56,66.72419,7.47904
13/10/2011,12.564525,24.26783,12.583619,5.588,66.731026,7.709984
14/10/2011,12.981977,24.49054,12.77144,5.61,68.55983,7.612274
17/10/2011,12.920141,23.837763,12.53667,5.484,67.290604,7.461272
18/10/2011,12.989361,25.243151,12.72448,5.668,70.252151,7.736629
19/10/2011,12.262739,24.767004,12.61716,5.514,69.767662,7.550098
20/10/2011,12.160911,25.44282,12.563497,5.468,70.552406,7.727747
21/10/2011,12.085852,25.665531,12.784851,5.606,72.012741,7.692216
24/10/2011,12.482696,26.548695,12.986082,5.71,72.517693,7.905395
