AAPL,JPM,PFE,TSLA,CVX,DAL,Portfolio Ret,,,,,,,,,,
-0.0213719,-0.006277049,0.002863648,-0.03509132,-0.007253351,0.032335128,-0.020043064,,,,,,,,,,
0.008484572,0.021457137,0.007598041,-0.024354324,-0.004570812,0.000908937,-0.001853665,,,,,,,,,,
0.011035363,0.006143995,0.001890222,0.014911383,0.024106912,-0.007292776,0.010180424,,,,,,,,,,
0.001940077,-0.001816484,-0.007107636,0.067853703,0.009771416,0.040345818,0.021305099,,,,,,,,,,
-0.015716153,-0.019971101,-0.016299651,-0.008189471,-0.012594525,0.011358983,-0.012928931,,,,,,,,,,
-0.002449186,-0.013538951,-0.004844509,-0.041984629,-0.011768431,-0.024627443,-0.01545534,,,,,,,,,,
-0.006630768,-0.004947713,-0.003405711,-0.003735529,0.008838696,-0.012545215,-0.00530078,,,,,,,,,,
0.013722699,-0.001654171,0.012590889,0.081193588,0.009537201,-0.055621382,0.032578284,,,,,,,,,,
-0.005299356,0.004248753,0.005758116,0.01710613,0.001064759,-0.029997361,0.002979552,,,,,,,,,,
0.007168201,0.00797812,0.001434651,0.002371677,-0.001452434,-0.017839873,0.004131594,,,,,,,,,,
0.030414933,0.010461049,0.024540746,0.019769449,0.016337479,0.007968199,0.025596076,,,,,,,,,,
-0.006691977,-0.034826689,-0.018824067,-0.055247598,-0.023337582,-0.040491397,-0.024465252,,,,,,,,,,
0.001705868,-0.00359836,-0.00237786,0.008379937,-0.013457292,-0.006217426,0.002835617,,,,,,,,,,
-0.007715373,-0.000962095,-0.007648168,0.04653582,-0.001187543,0,0.009046144,,,,,,,,,,
-0.015847995,-0.025336573,-0.004810353,-0.04862423,-0.013155622,-0.030609299,-0.024232819,,,,,,,,,,
-0.017908703,0.004677204,0,-0.011564874,-0.002108783,-0.007530811,-0.012524666,,,,,,,,,,
0.000602391,-0.008137556,-0.002896979,-0.045060786,0.004813623,-0.013043831,-0.014280467,,,,,,,,,,
-0.002260129,0.014502359,0.003379333,0.018268685,0.012725617,0.004366589,0.005182239,,,,,,,,,,
-0.017006951,0.001706746,-0.031329122,0.00865182,-0.015530521,0.004348094,-0.011223003,,,,,,,,,,
0.002145486,0.014990579,0.017254877,0.020252957,-0.007452736,0.004329148,0.010430627,,,,,,,,,,
0.017723035,-0.001440663,0.005847617,0.005961792,0.016740119,0.02558748,0.012165427,,,,,,,,,,
-0.017263808,-0.022604662,-0.01913233,-0.045787683,-0.022009954,-0.01805667,-0.026333173,,,,,,,,,,
-0.004878069,-0.007897046,0.002473288,-0.030474302,0.010311665,0.007474641,-0.011118888,,,,,,,,,,
-0.015184547,0.010843131,0.000988066,0,-0.002618649,0.018968205,-0.006879836,,,,,,,,,,
-0.015545059,-0.007874311,0.000493184,-0.018663654,0.007434426,0.011416348,-0.013037606,,,,,,,,,,
0.031159989,0.010566499,0.007862543,0.05679524,0.016675449,0.012308009,0.034399943,,,,,,,,,,
-0.00830383,-0.005392163,-0.007369007,-0.011691766,-0.005131713,-0.02268135,-0.00948583,,,,,,,,,,
0.026369244,-0.015354342,0.018079616,0.018208806,-0.017063971,0.035845975,0.022555664,,,,,,,,,,
-0.014842635,-0.014580243,-0.027990823,-0.005065134,-0.01480285,-0.052670947,-0.015031289,,,,,,,,,,
0.017284883,0.009827418,0.004472088,-0.003997825,0.010162515,0.024097583,0.008644372,,,,,,,,,,
0.009650926,-0.008562442,0.018664674,0.023394985,0.014554662,-0.028348282,0.014590427,,,,,,,,,,
-0.00364562,0.022753877,0.005822374,0.006383,0.00922518,-0.020441334,0.000766605,,,,,,,,,,
